type                 	output	layer size
--------------------------------------
input               :	128x128x3
  0 : conv2d              :	61x61x64	49456
  1 : batch normalization :	61x61x64	1048
  2 : activation relu     :	61x61x64	28
  3 : conv2d              :	28x28x64	590128
  4 : batch normalization :	28x28x64	1048
  5 : activation relu     :	28x28x64	28
  6 : conv2d              :	12x12x128	819760
  7 : batch normalization :	12x12x128	2072
  8 : activation relu     :	12x12x128	28
  9 : conv2d              :	9x9x256	2098224
 10 : batch normalization :	9x9x256	4120
 11 : activation relu     :	9x9x256	28
 12 : conv2d              :	7x7x18	166008
--------------------------------------
network image size = 3732000 (byte)
optimizer : ADAM
batch size : 50
lamda  CIoU       :      1.000
lamda　DFL        :      1.000
lamda　class      :      1.000
work area (byte) : 17230108
train data file : ..\Data\YOLO\PET_YOLO_AF_DFL_I128_G7_C2_sample50.flt
train data : 50
epoch	loss<total>	loss<CIoU>	loss<DF>	loss<class>	loss<no obj>	accuracy(%)	IoU(%)
58	2.635e+00	1.858e-01	2.224e+00	1.947e-01	3.061e-02	 98.00	 89.84
59	2.575e+00	1.677e-01	2.212e+00	1.361e-01	5.916e-02	100.00	 90.91
60	2.682e+00	1.856e-01	2.213e+00	2.782e-01	5.271e-03	 98.00	 89.91
61	2.643e+00	1.613e-01	2.194e+00	2.828e-01	4.852e-03	 98.00	 91.24
62	2.530e+00	1.565e-01	2.186e+00	1.541e-01	3.346e-02	 98.00	 91.47
63	2.470e+00	1.350e-01	2.168e+00	1.387e-01	2.786e-02	100.00	 92.68
64	2.538e+00	1.471e-01	2.173e+00	2.120e-01	5.512e-03	100.00	 92.01
65	2.473e+00	1.200e-01	2.150e+00	1.959e-01	7.315e-03	100.00	 93.49
66	2.420e+00	1.294e-01	2.150e+00	1.152e-01	2.477e-02	100.00	 92.94
67	2.413e+00	1.319e-01	2.148e+00	1.177e-01	1.581e-02	100.00	 92.81
68	2.425e+00	1.142e-01	2.147e+00	1.581e-01	6.628e-03	100.00	 93.75
69	2.337e+00	9.033e-02	2.128e+00	1.026e-01	1.646e-02	100.00	 95.06
70	2.379e+00	1.316e-01	2.142e+00	8.522e-02	1.991e-02	100.00	 92.82
71	2.367e+00	1.065e-01	2.124e+00	1.309e-01	5.712e-03	100.00	 94.22
72	2.322e+00	9.450e-02	2.123e+00	9.320e-02	1.096e-02	100.00	 94.87
73	2.325e+00	1.111e-01	2.124e+00	7.583e-02	1.442e-02	100.00	 93.94
74	2.346e+00	1.150e-01	2.121e+00	1.041e-01	6.114e-03	100.00	 93.77
75	2.285e+00	9.005e-02	2.114e+00	6.681e-02	1.348e-02	100.00	 95.12
76	2.308e+00	1.053e-01	2.116e+00	7.835e-02	8.605e-03	100.00	 94.30
77	2.304e+00	9.976e-02	2.116e+00	8.164e-02	6.814e-03	100.00	 94.56
78	2.291e+00	1.064e-01	2.109e+00	6.517e-02	1.017e-02	100.00	 94.19
79	2.294e+00	1.016e-01	2.115e+00	7.016e-02	7.309e-03	100.00	 94.45
80	2.279e+00	9.629e-02	2.104e+00	7.348e-02	5.829e-03	100.00	 94.76
81	2.230e+00	6.631e-02	2.103e+00	4.782e-02	1.303e-02	100.00	 96.39
82	2.288e+00	8.981e-02	2.102e+00	9.313e-02	2.950e-03	100.00	 95.13
83	2.237e+00	7.644e-02	2.106e+00	3.864e-02	1.561e-02	100.00	 95.83
84	2.348e+00	1.344e-01	2.119e+00	9.213e-02	2.635e-03	100.00	 92.64
85	2.333e+00	1.345e-01	2.147e+00	3.478e-02	1.674e-02	100.00	 92.64
86	2.411e+00	1.666e-01	2.149e+00	9.337e-02	2.143e-03	100.00	 90.90
87	2.294e+00	1.104e-01	2.129e+00	4.385e-02	1.090e-02	100.00	 93.98
88	2.233e+00	7.726e-02	2.099e+00	5.006e-02	6.642e-03	100.00	 95.78
89	2.304e+00	1.126e-01	2.111e+00	7.792e-02	2.606e-03	100.00	 93.85
90	2.264e+00	9.787e-02	2.119e+00	3.236e-02	1.441e-02	100.00	 94.65
91	2.271e+00	1.011e-01	2.099e+00	6.726e-02	3.127e-03	100.00	 94.52
92	2.256e+00	9.924e-02	2.101e+00	5.128e-02	5.324e-03	100.00	 94.60
93	2.255e+00	9.187e-02	2.115e+00	4.081e-02	7.964e-03	100.00	 95.00
94	2.265e+00	1.090e-01	2.103e+00	4.848e-02	5.028e-03	100.00	 94.08
95	2.230e+00	7.194e-02	2.093e+00	6.156e-02	3.033e-03	100.00	 96.07
96	2.213e+00	7.216e-02	2.100e+00	2.898e-02	1.239e-02	100.00	 96.06
97	2.268e+00	8.894e-02	2.094e+00	8.267e-02	1.539e-03	100.00	 95.17
98	2.247e+00	1.022e-01	2.102e+00	2.396e-02	1.862e-02	100.00	 94.44
99	2.437e+00	1.409e-01	2.148e+00	1.480e-01	6.045e-04	100.00	 92.33
100	2.540e+00	2.180e-01	2.224e+00	1.352e-02	8.509e-02	100.00	 88.14
